2017-04-11 14:43:45 status unpacked libaudit1:i386 1:2.4.5-1ubuntu2
2017-04-11 14:43:45 install libblkid1:i386 <none> 2.27.1-6ubuntu3
2017-04-11 14:43:45 status half-installed libblkid1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:45 status unpacked libblkid1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:45 status unpacked libblkid1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:45 install libbz2-1.0:i386 <none> 1.0.6-8
2017-04-11 14:43:45 status half-installed libbz2-1.0:i386 1.0.6-8
2017-04-11 14:43:45 status unpacked libbz2-1.0:i386 1.0.6-8
2017-04-11 14:43:45 status unpacked libbz2-1.0:i386 1.0.6-8
2017-04-11 14:43:45 install libc-bin:i386 <none> 2.23-0ubuntu3
2017-04-11 14:43:45 status half-installed libc-bin:i386 2.23-0ubuntu3
2017-04-11 14:43:46 status unpacked libc-bin:i386 2.23-0ubuntu3
2017-04-11 14:43:46 status unpacked libc-bin:i386 2.23-0ubuntu3
2017-04-11 14:43:46 upgrade libc6:i386 2.23-0ubuntu3 2.23-0ubuntu3
2017-04-11 14:43:46 status half-configured libc6:i386 2.23-0ubuntu3
2017-04-11 14:43:46 status unpacked libc6:i386 2.23-0ubuntu3
2017-04-11 14:43:46 status half-installed libc6:i386 2.23-0ubuntu3
2017-04-11 14:43:47 status half-installed libc6:i386 2.23-0ubuntu3
2017-04-11 14:43:47 status unpacked libc6:i386 2.23-0ubuntu3
2017-04-11 14:43:47 status unpacked libc6:i386 2.23-0ubuntu3
2017-04-11 14:43:47 install libcap2:i386 <none> 1:2.24-12
2017-04-11 14:43:47 status half-installed libcap2:i386 1:2.24-12
2017-04-11 14:43:47 status unpacked libcap2:i386 1:2.24-12
2017-04-11 14:43:47 status unpacked libcap2:i386 1:2.24-12
2017-04-11 14:43:47 install libcap2-bin:i386 <none> 1:2.24-12
2017-04-11 14:43:47 status half-installed libcap2-bin:i386 1:2.24-12
2017-04-11 14:43:47 status unpacked libcap2-bin:i386 1:2.24-12
2017-04-11 14:43:47 status unpacked libcap2-bin:i386 1:2.24-12
2017-04-11 14:43:47 install libcomerr2:i386 <none> 1.42.13-1ubuntu1
2017-04-11 14:43:47 status half-installed libcomerr2:i386 1.42.13-1ubuntu1
2017-04-11 14:43:47 status unpacked libcomerr2:i386 1.42.13-1ubuntu1
2017-04-11 14:43:47 status unpacked libcomerr2:i386 1.42.13-1ubuntu1
2017-04-11 14:43:47 install libcryptsetup4:i386 <none> 2:1.6.6-5ubuntu2
2017-04-11 14:43:47 status half-installed libcryptsetup4:i386 2:1.6.6-5ubuntu2
2017-04-11 14:43:47 status unpacked libcryptsetup4:i386 2:1.6.6-5ubuntu2
2017-04-11 14:43:47 status unpacked libcryptsetup4:i386 2:1.6.6-5ubuntu2
2017-04-11 14:43:47 install libdb5.3:i386 <none> 5.3.28-11
2017-04-11 14:43:47 status half-installed libdb5.3:i386 5.3.28-11
2017-04-11 14:43:47 status unpacked libdb5.3:i386 5.3.28-11
2017-04-11 14:43:47 status unpacked libdb5.3:i386 5.3.28-11
2017-04-11 14:43:47 install libdebconfclient0:i386 <none> 0.198ubuntu1
2017-04-11 14:43:47 status half-installed libdebconfclient0:i386 0.198ubuntu1
2017-04-11 14:43:47 status unpacked libdebconfclient0:i386 0.198ubuntu1
2017-04-11 14:43:47 status unpacked libdebconfclient0:i386 0.198ubuntu1
2017-04-11 14:43:47 install libdevmapper1.02.1:i386 <none> 2:1.02.110-1ubuntu10
2017-04-11 14:43:47 status half-installed libdevmapper1.02.1:i386 2:1.02.110-1ubuntu10
2017-04-11 14:43:47 status unpacked libdevmapper1.02.1:i386 2:1.02.110-1ubuntu10
2017-04-11 14:43:47 status unpacked libdevmapper1.02.1:i386 2:1.02.110-1ubuntu10
2017-04-11 14:43:47 install libfdisk1:i386 <none> 2.27.1-6ubuntu3
2017-04-11 14:43:47 status half-installed libfdisk1:i386 2.27.1-6ubuntu3
